Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,25,0,320,404.51582800000324,151.03219999946305,1901.892300000327,339.0,0.2099654031730371,0.0,320,420,460,500,520,960,1900,1900,1900,1900,1900
POST,STUDENT login,150,0,420,524.5623893332717,150.87769999990996,1637.8488999998808,358.37333333333333,1.2597924190382228,0.0,430,500,610,830,1100,1200,1500,1600,1600,1600,1600
POST,TEACHER login,75,0,420,570.0215840000359,197.37660000100732,1353.8365000003978,352.0,0.6298962095191114,0.0,420,660,690,860,1100,1200,1200,1400,1400,1400,1400
GET,admin permissions,2091,0,10,23.354485174539303,5.287899999530055,1255.9256000004098,1716.0,17.561506321392823,0.0,10,13,16,19,30,51,160,340,820,1300,1300
GET,admin users,2725,0,13,29.77480392660513,7.191200000306708,1231.6983000000619,6141.0,22.886228945861046,0.0,13,16,20,24,38,63,240,420,1200,1200,1200
GET,health live,5576,0,5,10.495881348630753,2.1565999995800667,826.824800000395,17.0,46.8306835237142,0.0,5,6,7,8,11,17,42,130,580,830,830
POST,student anti-cheat,158,0,20,126.26704367090797,6.414299999960349,922.7714000007836,248.5,1.3269813480535946,0.0,21,41,110,230,370,790,860,860,920,920,920
GET,student assigned exams,16574,0,10,22.580461892122546,4.8035999989224365,1849.201199998788,550.3842162423073,139.19866368759668,0.0,10,13,15,17,26,41,160,370,1100,1800,1800
PUT,student autosave,320,0,330,653.338656250077,13.305000000400469,3727.512800000113,112.0,2.687557160614875,0.0,340,910,1200,1300,1600,2200,2700,2800,3700,3700,3700
GET,student questions,150,0,46,223.58263933342337,9.05140000031679,1887.3698000006698,541.0,1.2597924190382228,0.0,48,160,330,400,750,920,1500,1500,1900,1900,1900
POST,student start,150,0,1200,1310.1214780000616,50.37300000003597,3494.5975999999064,379.0,1.2597924190382228,0.0,1200,1700,2000,2300,2800,3100,3400,3400,3500,3500,3500
POST,student submit,150,0,130,294.2821966668028,16.823300000396557,2652.523000000656,211.0,1.2597924190382228,0.0,130,300,420,500,890,1000,1600,1800,2700,2700,2700
GET,teacher anti-cheat subjects,3285,0,10,26.392661461180055,4.8475999992660945,2153.19830000044,98.0,27.589453976937076,0.0,10,12,15,17,27,53,240,480,1400,2200,2200
GET,teacher exams,6545,0,12,25.986152910634075,5.294700000376906,1272.1540999991703,112.54117647058824,54.968942550701115,0.0,12,14,17,20,31,52,200,400,1200,1300,1300
GET,teacher question bank,5073,0,11,23.92094762466979,5.2521999987220624,1215.233700000681,821.0,42.60617961187269,0.0,11,14,17,19,29,48,150,350,1100,1200,1200
,Aggregated,43047,0,10,36.602778193603385,2.1565999995800667,3727.512800000113,815.2965363439961,361.53522841558913,0.0,10,13,16,18,31,64,390,740,2300,3300,3700
