Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,10,0,160,165.45779000025505,133.9561999993748,211.96789999885368,339.0,0.08417414547439463,0.0,170,180,180,190,210,210,210,210,210,210,210
POST,STUDENT login,60,0,160,163.40013000002122,122.59170000106678,378.06839999939257,357.96666666666664,0.5050448728463677,0.0,160,170,170,180,190,210,240,380,380,380,380
POST,TEACHER login,30,0,170,185.60765666691927,116.38759999914328,389.1282999993564,352.0,0.25252243642318384,0.0,180,180,200,200,290,320,390,390,390,390,390
GET,admin permissions,803,0,9,11.925454047301912,5.896799999391078,180.69070000092324,1716.0,6.759183881593888,0.0,9,10,11,12,16,22,47,69,180,180,180
GET,admin users,1120,0,11,13.565452142880272,7.080600000335835,387.0299000009254,6141.0,9.427504293132197,0.0,11,12,13,14,17,22,33,69,260,390,390
GET,health live,2404,0,4,6.441054991670041,2.178299999286537,343.61079999871436,17.0,20.235464572044467,0.0,4,5,5,6,8,11,20,50,210,340,340
POST,student anti-cheat,44,0,13,29.281047727470817,7.256999999299296,243.91909999940253,248.61363636363637,0.3703662400873363,0.0,13,14,17,21,62,170,240,240,240,240,240
GET,student assigned exams,6713,0,8,11.204499970202919,5.096999999295804,511.903100001291,550.2773722627737,56.50610385696111,0.0,8,9,11,11,15,19,32,70,210,510,510
PUT,student autosave,103,0,21,40.00106601936582,13.912399999753688,312.1730999991996,111.09708737864078,0.8669936983862646,0.0,21,26,38,48,87,130,200,300,310,310,310
GET,student questions,60,0,13,31.910163333426073,8.310300001539872,173.07660000005853,541.0,0.5050448728463677,0.0,13,17,21,35,130,170,170,170,170,170,170
POST,student start,60,0,99,109.65441166660337,42.024899999887566,231.54599999907077,377.1,0.5050448728463677,0.0,100,110,120,130,180,210,210,230,230,230,230
POST,student submit,60,0,26,56.60929499999838,14.443699999901582,362.77180000070075,210.05,0.5050448728463677,0.0,28,44,64,87,160,220,220,360,360,360,360
GET,teacher anti-cheat subjects,1323,0,8,11.868796523072339,4.89940000079514,510.95359999999346,98.0,11.136239446262408,0.0,8,9,10,11,14,19,34,91,510,510,510
GET,teacher exams,2724,0,10,12.478403120406519,5.312500001309672,510.2275000008376,116.27422907488987,22.929037227225095,0.0,10,11,12,13,16,21,36,78,210,510,510
GET,teacher question bank,2074,0,9,12.385091755051844,5.46550000035495,508.60890000149084,821.0,17.457717771389444,0.0,9,10,11,12,16,21,40,79,210,510,510
,Aggregated,17588,0,9,12.802794075503904,2.178299999286537,511.903100001291,811.086308846941,148.04548706036525,0.0,9,10,11,12,16,23,74,140,300,510,510
