Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,5,0,110,128.9859399999841,104.97410000061791,197.89029999992636,339.0,0.04182498579888373,0.0,110,120,120,200,200,200,200,200,200,200,200
POST,STUDENT login,30,0,110,121.5908433333728,81.18889999968815,208.5984000004828,357.93333333333334,0.25094991479330236,0.0,110,110,120,180,190,200,210,210,210,210,210
POST,TEACHER login,15,0,110,127.49967999977041,79.6606999992946,217.78710000035062,352.0,0.12547495739665118,0.0,110,110,140,200,210,220,220,220,220,220,220
GET,admin permissions,416,0,9,9.977039903849171,5.4490999991685385,44.773700001314864,1716.0,3.4798388184671265,0.0,9,10,11,11,14,17,21,26,45,45,45
GET,admin users,571,0,11,12.40153730298352,7.035499998892192,121.7441000007966,6141.0,4.7764133782325215,0.0,11,12,13,14,16,20,27,45,120,120,120
GET,health live,1222,0,4,5.520184451725757,1.9257999992987607,137.72790000075474,17.0,10.222026529247184,0.0,4,5,5,6,8,9,14,25,120,140,140
POST,student anti-cheat,27,0,12,21.098711111133323,7.1417999988625525,221.901799999614,248.55555555555554,0.22585492331397214,0.0,12,13,14,16,24,40,220,220,220,220,220
GET,student assigned exams,3341,0,8,9.831889314597415,4.522299999734969,219.39130000100704,550.0745285842562,27.94745551081411,0.0,8,9,10,11,13,16,21,29,120,220,220
PUT,student autosave,47,0,18,28.27435531926699,13.415600000371342,267.7622999999585,111.0,0.39315486650950704,0.0,18,21,22,23,30,53,270,270,270,270,270
GET,student questions,30,0,11,12.710356666502776,8.087699998213793,21.58430000054068,541.0,0.25094991479330236,0.0,12,12,15,17,20,21,22,22,22,22,22
POST,student start,30,0,52,55.71980666657813,30.724000000191154,93.81419999954232,377.0,0.25094991479330236,0.0,52,59,66,67,87,90,94,94,94,94,94
POST,student submit,30,0,19,51.1083666666309,14.351900001202011,268.7593000009656,210.0,0.25094991479330236,0.0,20,25,36,110,140,250,270,270,270,270,270
GET,teacher anti-cheat subjects,680,0,8,9.558508382414242,4.668699999456294,120.41370000042662,98.0,5.6881980686481874,0.0,8,9,10,10,12,16,22,26,120,120,120
GET,teacher exams,1418,0,10,11.077581029623978,5.554599998504273,156.84439999859023,131.15444287729196,11.861565972563426,0.0,10,11,12,12,15,18,24,34,140,160,160
GET,teacher question bank,986,0,9,10.824748174415838,5.185100000744569,140.45570000052976,821.0,8.247887199539871,0.0,9,10,11,12,15,19,26,43,140,140,140
,Aggregated,8848,0,9,10.7817130764129,1.9257999992987607,268.7593000009656,814.25678119349,74.01349486970464,0.0,9,10,11,11,14,18,33,78,200,270,270
