Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,2,0,110,172.58665000008477,106.62260000026436,238.5506999999052,339.0,0.016847593079925727,0.0,240,240,240,240,240,240,240,240,240,240,240
POST,STUDENT login,12,0,100,136.17246666656987,89.56140000009327,262.64179999998305,357.8333333333333,0.10108555847955436,0.0,110,120,220,220,230,260,260,260,260,260,260
POST,TEACHER login,6,0,98,123.42136666726826,86.01910000106727,221.71280000111437,352.0,0.05054277923977718,0.0,120,120,130,130,220,220,220,220,220,220,220
GET,admin permissions,174,0,9,9.987620689728296,6.339300000036019,78.70910000019649,1716.0,1.465740597953538,0.0,9,10,10,10,12,14,16,24,79,79,79
GET,admin users,214,0,11,11.982769626195129,7.627200000570156,35.14270000050601,6141.0,1.8026924595520526,0.0,11,12,13,13,15,17,21,26,35,35,35
GET,health live,483,0,5,5.27604327120341,2.5710999998409534,49.09129999941797,17.0,4.068693728802063,0.0,5,5,6,6,7,9,12,18,49,49,49
POST,student anti-cheat,10,0,12,11.406779999742866,8.2868999998027,16.649799999868264,248.6,0.08423796539962863,0.0,12,13,13,13,17,17,17,17,17,17,17
GET,student assigned exams,1400,0,9,9.396013857134935,5.23560000146972,49.29160000028787,549.8157142857143,11.793315155948008,0.0,9,10,10,11,12,14,17,21,33,49,49
PUT,student autosave,24,0,19,19.98284999990574,13.755500000115717,40.984699999171426,110.29166666666667,0.20217111695910872,0.0,19,19,22,25,26,27,41,41,41,41,41
GET,student questions,12,0,13,19.12003333291068,10.155099998883088,50.493000000642496,541.0,0.10108555847955436,0.0,13,14,31,31,32,50,50,50,50,50,50
POST,student start,12,0,36,61.636566666796476,26.958500000546337,183.3731999995507,375.5,0.10108555847955436,0.0,37,37,110,110,110,180,180,180,180,180,180
POST,student submit,12,0,21,27.687116666281025,16.166399998837733,62.93980000009469,209.25,0.10108555847955436,0.0,22,23,26,26,62,63,63,63,63,63,63
GET,teacher anti-cheat subjects,249,0,9,10.12025983939942,5.422400001407368,209.443799998553,98.0,2.097525338450753,0.0,9,9,10,11,13,14,21,29,210,210,210
GET,teacher exams,574,0,10,10.929923519142903,6.191999998918618,34.147399999710615,200.5487804878049,4.835259213938683,0.0,10,11,12,13,14,17,20,22,34,34,34
GET,teacher question bank,390,0,9,11.131148461516624,5.6445000009262,83.82910000000265,821.0,3.2852806505855168,0.0,9,10,11,12,15,20,34,40,84,84,84
,Aggregated,3574,0,9,10.563661891432078,2.5710999998409534,262.64179999998305,804.7409065472859,30.106648833827272,0.0,9,10,11,11,13,17,25,40,220,260,260
