Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,25,0,410,461.7248439999821,134.29659999928845,1804.8886999995375,339.0,0.41092663490605785,0.0,410,430,500,610,720,1300,1800,1800,1800,1800,1800
POST,STUDENT login,150,0,410,592.1263079999577,131.3428000003114,1841.4732999999615,358.37333333333333,2.465559809436347,0.0,410,540,650,850,1400,1800,1800,1800,1800,1800,1800
POST,TEACHER login,75,0,510,790.9118573333035,216.68959999988147,2161.820799999987,352.0,1.2327799047181736,0.0,510,690,1300,1300,2000,2200,2200,2200,2200,2200,2200
GET,admin permissions,352,0,290,431.32198863638246,6.516100000226288,2150.263200000154,1716.0,5.785847019477295,0.0,290,510,670,750,1100,1300,1500,1600,2200,2200,2200
GET,admin users,497,0,300,413.4069736418594,8.103600000140432,1837.990600000012,6141.0,8.16922150193243,0.0,300,410,600,680,1100,1300,1500,1700,1800,1800,1800
GET,health live,1082,0,140,297.43263900183126,2.5500000001557055,1871.712799999841,17.0,17.784904758734182,0.0,140,230,380,560,890,1200,1400,1500,1800,1900,1900
POST,student anti-cheat,174,0,320,486.65876781610507,7.05149999976129,1986.6784999994707,248.48275862068965,2.8600493789461625,0.0,320,520,770,890,1200,1400,1600,1900,2000,2000,2000
GET,student assigned exams,3258,0,200,346.16931476365045,5.575900000621914,2154.987500000061,550.4189686924493,53.55195906095746,0.0,200,300,480,630,960,1200,1400,1500,1900,2200,2200
PUT,student autosave,318,0,450,671.7006135220246,15.798800000084157,2161.5523000000394,112.0125786163522,5.226986796005056,0.0,450,920,1100,1200,1500,1800,1900,1900,2200,2200,2200
GET,student questions,150,0,210,292.4110366666476,10.160099999666272,1526.5699999999924,541.0,2.465559809436347,0.0,210,320,450,550,830,910,1000,1000,1500,1500,1500
POST,student start,150,0,800,884.4304280000808,37.78940000029252,2000.9847000001173,379.0,2.465559809436347,0.0,820,1300,1500,1500,1800,1900,2000,2000,2000,2000,2000
POST,student submit,147,0,370,570.4450442176587,14.067499999327993,2011.9684000001143,211.0,2.41624861324762,0.0,370,660,990,1100,1500,1800,1900,2000,2000,2000,2000
GET,teacher anti-cheat subjects,613,0,220,366.6465393148393,5.492600000252423,1912.7779000000373,98.0,10.075921087896539,0.0,220,370,610,690,1000,1200,1300,1400,1900,1900,1900
GET,teacher exams,1158,0,300,431.30759810017764,6.982899999457004,1901.1883000002854,115.10189982728843,19.0341217288486,0.0,300,450,660,750,1100,1300,1500,1700,1900,1900,1900
GET,teacher question bank,891,0,260,395.22105095399047,6.792099999984202,2157.8157000003557,821.0,14.645425268051902,0.0,260,400,590,680,1000,1200,1400,1700,2200,2200,2200
,Aggregated,9040,0,240,398.40955209070495,2.5500000001557055,2161.820799999987,744.3744469026549,148.59107118203053,0.0,240,390,600,730,1100,1300,1600,1800,2100,2200,2200
