Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,5,0,170,262.346019999859,89.719900000091,509.379699999954,339.0,0.08209453137028441,0.0,170,450,450,510,510,510,510,510,510,510,510
POST,STUDENT login,30,0,190,259.4692833334496,81.7590000006021,528.0499000000418,357.93333333333334,0.4925671882217065,0.0,190,370,440,480,490,490,530,530,530,530,530
POST,TEACHER login,15,0,250,287.6571533333845,81.40280000043276,598.6762000002273,352.0,0.24628359411085324,0.0,250,410,490,500,570,600,600,600,600,600,600
GET,admin permissions,128,0,140,221.878993749975,6.9149999999353895,1288.90870000032,1716.0,2.101620003079281,0.0,140,270,360,400,550,690,1100,1200,1300,1300,1300
GET,admin users,171,0,75,203.83301169591792,7.776100000228325,1158.521600000313,6141.0,2.807632972863727,0.0,75,240,320,400,490,730,1000,1100,1200,1200,1200
GET,health live,399,0,95,201.15369649126535,2.4684999998498824,1370.7706999994116,17.0,6.551143603348696,0.0,95,220,340,380,530,660,950,1100,1400,1400,1400
POST,student anti-cheat,42,0,41,179.0424214285676,8.530400000381633,799.366000000191,248.47619047619048,0.689594063510389,0.0,42,220,380,400,490,560,800,800,800,800,800
GET,student assigned exams,1098,0,66,197.20756502733087,6.586499999684747,1393.1467000002158,550.1602914389799,18.027959088914457,0.0,66,210,310,390,540,700,1000,1200,1400,1400,1400
PUT,student autosave,79,0,76,200.59698354430975,14.482200000202283,1049.056799999562,111.0,1.2970935956504936,0.0,76,210,410,420,520,630,750,1000,1000,1000,1000
GET,student questions,30,0,16,138.69372333332043,8.428899999671557,562.995399999636,541.0,0.4925671882217065,0.0,17,170,260,290,420,530,560,560,560,560,560
POST,student start,30,0,56,234.25937666679602,26.68530000028113,647.1469999996771,377.0,0.4925671882217065,0.0,57,380,480,600,610,630,650,650,650,650,650
POST,student submit,30,0,210,263.8436199999281,20.10729999983596,818.3908999999403,210.0,0.4925671882217065,0.0,230,380,460,500,630,770,820,820,820,820,820
GET,teacher anti-cheat subjects,193,0,53,193.53930155441068,6.179299999530485,1315.4727999999523,98.0,3.168848910892978,0.0,53,210,280,340,560,820,1100,1200,1300,1300,1300
GET,teacher exams,428,0,61,207.64203107477525,7.398300000204472,1234.337300000334,103.14953271028037,7.0272918852963455,0.0,63,240,340,440,560,680,1000,1100,1200,1200,1200
GET,teacher question bank,321,0,73,185.16178878509487,7.205799999610463,1301.0708000001614,821.0,5.270468913972259,0.0,73,180,280,330,530,680,760,970,1300,1300,1300
,Aggregated,2999,0,74,200.59770160054953,2.4684999998498824,1393.1467000002158,759.5795265088362,49.240299915896586,0.0,74,220,330,400,540,680,990,1100,1400,1400,1400
