Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,10,0,160,280.2550899999005,114.71170000004349,683.8362999997116,339.0,0.16398066658720528,0.0,210,210,490,550,680,680,680,680,680,680,680
POST,STUDENT login,60,0,210,261.85337500004,107.39610000018729,863.766399999804,357.96666666666664,0.9838839995232317,0.0,210,240,300,360,680,760,760,860,860,860,860
POST,TEACHER login,30,0,260,299.33788333331296,107.55049999988842,800.3607000000557,352.0,0.49194199976161584,0.0,270,330,390,390,730,730,800,800,800,800,800
GET,admin permissions,236,0,72,248.97067203387758,7.491399999707937,1207.8694000001633,1716.0,3.8699437314580445,0.0,73,230,440,550,760,910,1000,1100,1200,1200,1200
GET,admin users,290,0,83,249.22545310341923,8.507499999723223,1177.1304999992935,6141.0,4.755439331028953,0.0,88,240,470,560,750,880,1100,1100,1200,1200,1200
GET,health live,610,0,62,234.24776704917304,2.6136999995287624,1359.7491999998965,17.0,10.002820661819522,0.0,63,190,420,500,770,880,1000,1100,1400,1400,1400
POST,student anti-cheat,50,0,72,214.01597600002788,8.588400000007823,1076.8068999996103,248.62,0.8199033329360264,0.0,73,190,400,460,720,780,1100,1100,1100,1100,1100
GET,student assigned exams,1942,0,72,228.89502528321918,6.127999999989697,1392.6990999998452,550.268280123584,31.845045451235265,0.0,72,180,390,480,740,880,1000,1100,1400,1400,1400
PUT,student autosave,111,0,110,232.77247387391031,14.352900000631053,1102.7571999993597,111.14414414414415,1.8201853991179786,0.0,110,210,390,480,670,820,930,1100,1100,1100,1100
GET,student questions,60,0,16,103.62648999997266,8.90590000017255,847.9633999995713,541.0,0.9838839995232317,0.0,17,77,100,190,400,490,790,850,850,850,850
POST,student start,60,0,120,327.79911833334455,49.90040000029694,1447.2089000000778,377.1,0.9838839995232317,0.0,120,230,460,630,960,1300,1400,1400,1400,1400,1400
POST,student submit,60,0,140,271.0112750000159,15.501900000344904,1409.070900000188,210.05,0.9838839995232317,0.0,150,240,400,560,780,980,1100,1400,1400,1400,1400
GET,teacher anti-cheat subjects,321,0,110,267.4552604361357,6.733900000654103,1296.8344000000798,98.0,5.263779397449289,0.0,110,320,460,580,730,850,1100,1200,1300,1300,1300
GET,teacher exams,678,0,69,255.37305162242143,6.960400000025402,1409.180099999503,120.00589970501476,11.117889194612518,0.0,71,210,470,590,790,940,1100,1200,1400,1400,1400
GET,teacher question bank,578,0,83,244.8579856401311,6.990399999267538,1361.5183000001707,821.0,9.478082528740465,0.0,85,220,440,510,750,910,1100,1200,1400,1400,1400
,Aggregated,5096,0,84,240.41215985086137,2.6136999995287624,1447.2089000000778,781.0247252747253,83.56454769283981,0.0,84,200,420,500,750,880,1100,1100,1400,1400,1400
